,codimap_category,codimap_title,codimap_date,views,comment_count
0,캐주얼,톤온톤 코디,21.07.02,"조회 17,320",댓글 50
1,캐주얼,블랙 매니아,21.02.23,"조회 36,357",댓글 47
2,캐주얼,오늘의 코디,22.03.22,"조회 13,427",댓글 44
3,댄디,추천 댄디 룩,21.09.15,"조회 21,623",댓글 32
4,캐주얼,릴랙스 룩,21.02.23,"조회 24,053",댓글 25
5,스트릿,힙하다 힙해,21.02.03,"조회 36,109",댓글 24
6,댄디,데이트 코디,21.12.24,"조회 10,997",댓글 19
7,캐주얼,심플한 코디,21.07.30,"조회 41,376",댓글 18
8,댄디,훈훈 남친 룩,21.03.24,"조회 20,025",댓글 17
9,댄디,서머 데이트 룩,21.07.26,"조회 8,373",댓글 17
10,댄디,남친 룩으로 제격,21.12.24,"조회 10,197",댓글 17
11,캐주얼,지금 입기 좋아,21.08.31,"조회 20,898",댓글 16
12,캐주얼,꾸안꾸 코디,22.11.04,"조회 5,215",댓글 15
13,아메카지,아메리칸 캐주얼,21.12.21,"조회 5,851",댓글 14
14,비즈니스캐주얼,깔끔하게 즐겨,21.11.09,"조회 6,620",댓글 13
15,아메카지,남다른 감각,21.11.17,"조회 5,084",댓글 11
16,캐주얼,편안함의 완성,21.10.04,"조회 20,087",댓글 11
17,캐주얼,편하게 완성,21.07.21,"조회 15,342",댓글 10
18,캐주얼,원 마일 웨어,21.10.08,"조회 17,080",댓글 10
19,비즈니스캐주얼,매력적인 포멀 룩,21.09.17,"조회 11,733",댓글 10
20,캐주얼,레이어드의 매력,21.06.04,"조회 12,792",댓글 9
21,댄디,레이어드의 매력,21.11.23,"조회 10,551",댓글 8
22,캐주얼,잘 고른 재킷,20.10.28,"조회 20,869",댓글 8
23,캐주얼,발랄함 가득!,21.07.05,"조회 3,244",댓글 8
24,비즈니스캐주얼,깔끔한 매력,21.03.08,"조회 14,022",댓글 8
25,댄디,남친 룩의 정석,20.11.04,"조회 16,665",댓글 8
26,시크,시크한 감각,21.08.20,"조회 3,920",댓글 8
27,캐주얼,서머 캠퍼스 룩,22.07.19,"조회 3,357",댓글 8
28,비즈니스캐주얼,손색 없는 단정함,21.11.12,"조회 3,400",댓글 8
29,댄디,훈훈한 스타일,21.12.29,"조회 3,698",댓글 7
30,캐주얼,러블리 캐주얼,20.11.18,"조회 10,839",댓글 7
31,캐주얼,오늘의 무드,21.12.06,"조회 7,075",댓글 7
32,비즈니스캐주얼,단정한 모습,21.11.26,"조회 5,900",댓글 7
33,아메카지,색감에 반해,22.11.02,"조회 7,526",댓글 7
34,아메카지,센스 있는 아메카지,22.10.26,"조회 8,456",댓글 7
35,캐주얼,캠퍼스 룩,21.07.12,"조회 7,472",댓글 7
36,캐주얼,캐주얼 룩의 정석,20.11.06,"조회 16,440",댓글 7
37,아메카지,아메카지의 정석,22.11.21,"조회 9,162",댓글 6
38,댄디,레더 스타일링,21.09.28,"조회 8,284",댓글 6
39,비즈니스캐주얼,클래식한 실루엣,21.01.15,"조회 4,416",댓글 6
40,캐주얼,귀여운 프레피 룩,21.06.04,"조회 12,381",댓글 6
41,댄디,데이트하는 날,21.09.07,"조회 17,901",댓글 6
42,스트릿,따라 입고 싶어,21.08.30,"조회 2,288",댓글 6
43,캐주얼,남친 룩 추천,21.06.11,"조회 11,056",댓글 6
44,캐주얼,피크닉 가자!,21.08.20,"조회 2,835",댓글 6
45,아메카지,실패 없는 코디,21.06.11,"조회 8,437",댓글 6
46,아메카지,아메카지 무드,22.11.10,"조회 6,532",댓글 6
47,아메카지,아메카지 무드,22.06.17,"조회 4,903",댓글 6
48,비즈니스캐주얼,깔끔한 연출,21.11.10,"조회 3,735",댓글 6
49,비즈니스캐주얼,완벽한 스타일링,21.09.15,"조회 4,235",댓글 6
50,로맨틱,레트로 스타일링,21.05.17,"조회 2,354",댓글 6
51,비즈니스캐주얼,데이트 룩 완성!,21.02.08,"조회 10,920",댓글 5
52,캐주얼,가볍게 툭!,21.05.31,"조회 3,521",댓글 5
53,캐주얼,레트로 무드,21.03.12,"조회 11,775",댓글 5
54,캐주얼,활동하기 최고,21.09.23,"조회 6,549",댓글 5
55,캐주얼,그린 포인트!,21.05.28,"조회 5,533",댓글 5
56,스트릿,스트라이프 활용법,21.02.19,"조회 2,897",댓글 5
57,캐주얼,캐주얼 룩의 정석,21.03.12,"조회 11,215",댓글 5
58,캐주얼,멋 내는 방법,21.07.02,"조회 6,008",댓글 5
59,캐주얼,편하게 멋 내봐,21.09.08,"조회 11,759",댓글 5
